text,start,end
สวัสดีครับเห็นมีโทรศัพท์เข้ามาว่ามีพัสดุตกค้างอ่ะครับ,5.322,8.602
ไม่มีล่ะครับ,12.65,14.266
ได้โชว์ชอบ,20.458,21.242
ครับผม ชื่อ,22.058,23.45
ปรับเสิร์ฟครับ,23.946,25.242
นามตระกูลมนุษย์กฤต,25.93,27.418
ชื่อ ประเสริฐ ครับ,27.466,28.474
มะนู กิจชัด,34.442,35.738
ช้า พ่อม,41.418,42.202
หรือคนสูญสัยต้อง,43.498,44.442
พูดมากๆ เหลือมาก สำหรับคนเป็นไม่ได้ค่ะ,44.65,46.874
คุณสะเทือนที่ถือสายเรานะ,57.482,58.906
ช้า ป่อง,59.21,59.962
ครับ,70.026,70.906
การอาญาไว้เพื่อตรวจสอบนะคะ,78.026,80.186
พี่ตั้งว่าเขาจะอยู่ตรงนี้คงไม่ถูกจับส่งไปหรือเปล่าคะ,80.65,83.738
ไม่ได้ส่งครับ ไม่เคยส่งของเลยครับ,84.074,86.426
จากการตรวจสอบนะครับเป็นที่ไม่สะดวก,94.506,96.826
อาเล็ก อามาฮะ,99.306,100.122
ครับผม,100.202,100.986
เอ่อ,102.218,103.098
อันนี้คือของมันค้างอยู่ที่ไหนครับ,103.05,104.89
ที่เรียกว่าตุบูรณ์ค่ะ,108.874,109.978
แล้วก็คอร์ส,110.698,111.834
พอของมันค้างไว้,112.842,114.17
กฎหมายค่ะ,114.986,115.77
ไม่ปรากฏ มันค้างไว้แล้วครัว คุณเอาอำนาจอะไรไปเปิด พอสรุปครับ,115.722,119.674
จึงรู้ว่ามันเป็นข้อผิดกฎหมาย,120.106,121.786
โอเคนะ,127.69,128.474
แต่ถ้าไม่ได้ใช่ไหมคะ เขาก็ต้องตรวจสอบเช่นนี้,128.81,132.026
อ๋อครับ อันไงเข้าใจครับแต่ว่าผมไม่ได้ส่งนะครับพี่,132.234,134.81
อย่างงี้ผมต้องทำยังไงครับ,135.082,136.634
อีกหนึ่งเป็นสิ่งแอพภาพในการจัดการ,139.658,141.21
ได้หมดหมู่ผม,143.178,143.962
ไปใช้ในการคิด,143.882,145.018
ก็น่าจะเป็นอย่างนั้นนะครับ,146.538,147.994
เป็นไปได้ไหมคะ,148.138,148.954
เป็นไปได้ครับ,149.002,149.946
ข้อมูลส่วนตัวร่วมไหลหรือเปล่าคะเนี่ย,155.146,156.954
ก็อาจจะ,156.938,158.17
ก็เคยทำหายบ่อยครับ,158.122,161.146
- แกงหวยได้เลยเหรอคะ- ใช่ครับ,163.242,164.698
ก็คือไปแจ้งขาย ไปแจ้ง ไปทำบัตรใหม่อะไรอย่างนี้ค่ะ,166.666,169.69
แจ้งทำบัตรใหม่แล้วครับ,170.026,171.45
คุณอยู่ที่ไหนนะครับผม,176.874,178.298
ไปภูมิไทยสำนักนายาอิทธิ วัดเที่ยงวัฒนธรรม,182.026,184.698
โอ้ ค่ะ,184.874,185.914
เออ,185.834,186.586
ขอบคุณมากนะครับ น้องสาวโทรมา,187.05,188.922
บอกไหมครับ,189.13,189.914
น้ำแหลมชะบัง,195.306,196.346
สบาย นี่คืออะไรครับ,196.266,197.466
สาขาแหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง,198.634,200.78599999999997
 แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง แหลมชะบัง,200.78599999999997,202.87399999999997
ถ้าคุณไม่ใช้แล้วคุณไม่ทำการจัดจบก็จะอยู่ชุมนุมนะคะ,205.61,208.474
แจ้งความเจ็บแจ้งที่ไหน ครับผม,210.698,213.818
แถวไหนก็ได้หรอครับ,213.898,215.994
เกรดที่ใหญ่ใช่ไหมคะ,216.65,217.946
โอ้ครับ,218.09,219.066
ต้องไปแจ้งที่นั่นเลยเหรอครับ,219.146,220.442
สุพิตแจงที่ขอพบในบ้านผม,222.026,223.962
สามสิบปีแล้วแนะนำไหม,229.034,231.13
แกงไอ้สองหมด,231.146,232.154
อืมครับ คุณเกริกในการเข้าสู่กฎหมาย,233.386,235.514
โห คุณดีมากเลยครับ อุตส่าห์แนะนำอย่างดีเลย,236.618,239.386
โดยปกติรัฐธรรมอย่างนี้ กรณีอย่างนี้ผมจะมีความผิดตามกฎหมายไหมครับ,240.682,244.346
ถ้าแยกเข้าไปอยู่,253.834,254.874
อันนี้มีอะไรในภาษาดูนะครับที่เขาสอนไว้นะครับ,261.546,264.666
อ่า นิด,271.05,271.866
กรณีนี้เหมือนผมดู เอ้ย โดนแอบอ้างชื่อใช่ไหมครับ,272.394,275.77
