text,start,end
สวัสดีค่า ทรู อินเทอร์เน็ต ไฟเบอร์ นี้ ชั้น อ ทิต,0.0,3.263
 ยา สูบบุญ มา รับ สาย ยินดี ให้บริการ ค่ะ,3.263,6.7780000000000005
ไม่ทราบว่าคุณลูกค้าต้องการสอบถาม,7.05,9.826
ข้อมูลเรื่องใดคะ ด้วยความยินดีค่ะ,9.826,12.602
ไม่ ทราบ ว่า ตอนนี้ ดิฉัน กำลัง เรียนสาย กับ คุณ อะไร,12.586,16.475
 คะ ยินดี ให้บริการ ค่ะ คุณ อรทัย ชุ่มชื่น ขออนุญาต,16.475,20.364
 ทวน ชื่อ ผู้รับบริการ อีกครั้ง นะคะ ออ่าง ลอเรือ,20.364,23.994
ทอด ทหาร ไม่ หัน ย้อยยักษ์ ชอ,23.914,26.527
 ช้าง สรุป ไม่ เอก ม้า ม้า ชอ ช้าง,26.527,29.466
ฉัน ละ อือ นอน หนู ว่ะ เฮ้,29.482,31.13
ถูกต้องไหมคะ ต้องขออภัยด้วยค่ะคุณลูกค้า,31.05,34.007
 ไม่ทราบว่าตอนนี้คุณลูกค้าได้ใช้อินเทอร์เน็ต,34.007,37.21
จากเครือข่ายไหนอยู่หรือเปล่าคะ แพ็กเกจความเร็วเท่า,37.226,40.497
ไหร่ขอทราบข้อมูลเบื้องต้นด้วยค่ะ ทางลูกค้ายัง,40.497,43.768
ไม่ได้ดำเนินการเดินสายภายในใช่ไหมคะ ได้ค่ะ,43.768,47.29
คุณอรทัยยินดีให้ข้อมูลค่ะ เบื้องต้นที่สอบถาม,47.338,50.835
รายละเอียดการใช้งานของลูกค้า เพราะเป็นนโยบาย,50.835,54.082
ของบริษัท คือบริการให้คำแนะนำตามความเหมาะสม,54.082,57.579
ในการใช้งาน ต้องขอประทานอภัย ถ้าหากลูกค้า,57.579,60.826
บัตรการรบกวนลูกค้านะคะ แพ็คเกจอินเทอร์เน็ต,60.906,63.813
เริ่มต้นที่หกร้อยสี่สิบเก้าบาทค่ะ ความเร็วอินเทอร์เน็ต,63.813,67.167
คงที่ห้าร้อยไม่กระบิดต่อวินาที,67.167,69.626
กล่องสัญญาณที่ได้รับเป็นกล่องรุ่นใหม่,69.866,72.474
สามารถ รับ ชม ช่อง ทรู ทีวี ได้,72.618,75.482
ได้รับ ซิม ผ้า จี ฟรี สอง ซิม ค่ะ แพ็คเกจ อินเทอร์เน็ต,75.562,79.16199999999999
 ห้า ร้อย เก้า สิบ เก้า บาท เป็น กล่อง,79.16199999999999,81.082
 รุ่น เก่า ความเร็ว อินเทอร์เน็ต หนึ่ง พัน เมกะ บิต,81.082,83.96199999999999
ความเร็ว คงที่ ต่อเนื่อง,84.138,86.202
ห้าร้อย เมกะ บิ ตร อวิ นาที,86.282,88.884
 ได้รับ ซิม เน็ต ห้า จี สิบ กิก,88.884,90.618
จำนวนสองซิมค่ะ มีค่ะ คุณอรทัย,90.538,93.754
เบื้องต้นขอ สอบถาม ข้อมูล เพิ่มเติม ได้ ไหม คะ ใน บ้าน,94.09,98.054
 มี สมาชิก ที่ ร่วม ใช้ เวไฟ กี่ ท่าน คะ เชื่อม ต่อ กับ,98.054,102.018
 อุปกรณ์ อะไร บ้าง ใช้ งาน ด้าน ใน บ้าง คะ อาทิเช่น,102.018,105.982
 ตัด ต่อ วิดีโอ หรือ ว่า เล่น เกม ออนไลน์ แพ็คเกจ,105.982,109.946
หกร้อย สี่ สิบ เก้า บาท ค่ะ,110.122,112.314
ความเร็วเน็ตของที่,112.586,114.65
ห้า ร้อย มิกาบิตร ต่อ วินาที ต่าง กันที่ ความเร็ว,114.698,118.57799999999999
 คง ที่ ค่ะ ของ ห้า ร้อย เก้า สิบ เก้า ความเร็ว คง ที่ อยู่ ที่,118.57799999999999,122.45799999999998
300 เมกะบิตร จากการใช้งานของลูกค้าโปรโมชั่น,122.73,126.748
 599 บาท ก็เพียงพอสำหรับลูกค้าแล้วค่ะ เพราะ,126.748,130.192
ช่วงเวลาที่ใช้งานพร้อมกัน น่าจะเป็นช่วงเวลา,130.192,134.21
สั้นๆ ช่วงเช้าหรือช่วงกลางคืนเท่านั้นเองค่ะ ถ้า,134.21,137.941
อย่างนั้น เป็นโปร 645 บาทต่อเดือนดีไหมคะ แอดมิน,137.941,141.672
ขออนุญาตส่งลิงก์เพื่อให้ลูกค้าตอบข้อมูลนะคะ,141.672,145.69
รบกวนขออีเมลชื่อและเบอร์โทรติดต่อ,146.026,149.05200000000002
ด้วยค่ะ ขอบคุณสำหรับข้อมูลนะคะ,149.05200000000002,151.80200000000002
รบกวนถือสายรอสักครู่ค่ะ,151.722,153.823
 ก่อนที่ลูกค้าทำรายการนะคะ,153.823,156.186
ระหว่าง รอ อีเมล แอดมิน ขอ สอบถาม ข้อมูล,156.394,159.195
 เพิ่มต้น เพิ่มเติม ได้ ไหม คะ อา คิส,159.195,161.53
อีกสักครู่เมื่อลูกค้าได้รับ,161.45,163.65599999999998
เมล์รบกวนกรอกเอกสารให้ครบถ้วน,163.65599999999998,166.13799999999998
โดยเฉพาะดอกจันทร์นะคะ,166.122,167.834
ในส่วนนี้เข้าบริการติดตั้งฟรี ค่า ราวเตอร์ ฟรี,168.074,171.802
ลูกค้า ชำระเพียงครับ ด้วยการล่วงหน้า หนึ่ง เดือน,172.202,175.354
ใช้หักเป็นค่าบริการในเดือนถัดไปได้เลยค่ะ คุณอรทัย,175.562,179.26500000000001
คะ ลูกค้าสะดวกไหมคะ ถ้ากรอกมาพร้อมกับ,179.26500000000001,182.042
ถือ สาย,182.09,183.034
หากติดขัดตรงไหน แอดมินจะได้แนะนำได้เลย,183.338,186.53
 ใช่ค่ะ แอดมินจะได้เช็คพิกัดและดูดตาราง,186.53,189.722
ช่างเทคนิคให้ทราบได้เลย สักครู่นะคะ คุณอรทัย,189.77,193.586
 คุณอรทัยสะดวกให้ช่างเข้าติดตั้งวันไหนบ้างคะ,193.586,197.40200000000002
 รบกวนระบุวันเวลา รวมถึงเบอร์ผู้ติดต่อด้วย,197.40200000000002,201.21800000000002
ค่ะ รบกวนแจ้งแอดมินอีกครั้งก็ได้ค่ะ ขณะนี้แอดมิน,201.21800000000002,205.306
กำลังจองคิวช่างให้อยู่ค่ะ ขอบคุณสำหรับข้อมูล,205.306,209.122
นะคะ ในสัปดาห์นี้ช่างมีคิวติดตั้งเส้นใน,209.122,212.66500000000002
วันศุกร์นี้ค่ะ แอดมิคิว ช่าง ไว้ ให้ แต่ว่า ยัง,212.66500000000002,216.48100000000002
 ไม่ คอนเฟิร์ม จนกว่า ลูกค้า จะ มี การ ชำระ เงิน เข้ามา,216.48100000000002,220.56900000000002
เพราะแอดมินไม่สามารถมองเห็นสต๊อกของสาขาได้,220.874,224.69
ค่ะ ถ้าพอหมายเลขผู้ติดต่อแล้วก็ทราบชื่อของ,224.69,228.506
ผู้ ที่ อยู่ บ้าน ใน วัน ที่ ช่าง จะ เข้า ไป,228.81,231.681
 ติดตั้ง ด้วย นะคะ ได้ ค่ะ ใน วัน พรุ่งนี้ นะ,231.681,234.81300000000002
คะ ทีม ช่าง จะ โทร หา เบอร์ ผู้ ติดต่อ อีกครั้ง,234.81300000000002,237.94500000000002
เพื่อคอนเฟิร์มแนะนำค่ะ ถ้าเป็นอย่าง,238.25,240.61
นั้น ลูกค้าสะดวกวันไหนดีคะ,240.61,242.97000000000003
ต้องขออภัยด้วยค่ะคุณอาราไท ปกติ,243.018,246.094
ตามคิวชั่งค่อนข้างใช้เวลานะคะ,246.094,248.89
แต่ แอดวิน เห็น ว่า วัน ศุกร์ นี้ มี โซน นั้น พอดี,249.226,252.546
 แล้วก็ มี ช่วงเวลา ที่ พอ จะ แทรก ได้ ค่ะ ยินดี,252.546,256.122
ค่ะ ข้อมูลครบถ้วนเรียบร้อยแล้วนะคะคุณสุม,256.042,259.642
ขออภัยค่ะ,259.626,260.986
คุณอรทัย,261.002,262.17
ต้องการสอบถามข้อมูลด้านใดเพิ่มเติมไหมคะ ถ้าหากไม่มี,262.474,266.13
แล้ว ดิฉันรบกวนขอจบกันให้บริการถึงเท่านี้นะคะ,266.13,269.786
ขอบคุณที่ไว้วางใจ ทรู อินเทอร์เน็ต ไฟเบอร์ ในการ,270.122,273.202
ให้บริการนะคะ ก่อนวางสายรบกวนให้คะแนนกับ,273.202,276.282
การบริการครั้งนี้ด้วยค่ะ,276.234,278.266
ขอ ขอบคุณ ค่ะ,278.186,279.291875
