text,start,end
สวัสดีค่ะ Detect Call Center Service เจตนารับสาย,0.0,2.931
ยินดีให้บริการค่ะ ไม่ทราบว่าคุณลูกค้าต้องการ,2.931,6.088
สอบถามข้อมูลเรื่องใดคะ ด้วยความยินดีค่ะ,6.088,8.794
ไม่ทราบว่าตอนนี้นี่ฉันกำลังเรียน,8.714,10.866
สายกับคุณอะไรคะ ค่ะ คุณพรชนก,10.866,13.018
สามารถดำเนินการย้ายไข้ได้ทันที,12.938,15.079
ที่จุดบริการลูกค้าในสาขาใกล้บ้าน,15.079,17.434
คุณพ่อฉนก,17.482,18.458
สามารถย้ายไข้ได้ทันทีนะคะ เพียงแค่นำบัตรประจำ,18.474,21.655
ตัวประชาชนใบเดียวไปที่สาขาที่ให้บริการ ไม่ทราบ,21.655,25.048000000000002
ว่าคุณพอชโนกสะดวกเข้ารับบริการที่ศาลราคาไหนคะ,25.048000000000002,28.441000000000003
คุณผชโน ต้องการให้ตรวจสอบสาขาให้บริการใกล้เคียงไหม,28.81,32.69
คะ ด้วยความยินดีค่ะรบกวนขอข้อมูลเพิ่มเติมด้วยนะคะ,32.69,36.57
คุณผ่อนชนกทำงานอยู่ที่ไหนคะดิฉัน,36.586,38.958
จะตรวจสอบสาขาที่อยู่ใกล้ที่สุด,38.958,41.114
เพื่อความสะดวกของคุณพรชนกค่ะคุณพรชนกต้องเข้า,41.226,44.897999999999996
ไปที่ศูนย์ ใกล้บ้านที่สุดได้ที่ศูนย์บริการ แซนเตอร์,44.897999999999996,48.56999999999999
สาขา Lotus พราม 4 ได้เลยนะคะ ต้องขออภัยด้วยนะคะ จำเป็น,48.49,52.338
จะต้องไปดำเนินการที่สาขาหรือว่าที่ช็อปที่ให้บริการค่ะ,52.338,56.186
แต่ว่าถ้าหากว่าลูกค้าไม่สะดวกในการ,56.138,58.864
เดินทาง สามารถย้ายค่ายผ่านช่องทางออนไลน์ของ DTAC,58.864,61.818
ไม่ทราบว่าเบอร์เดิมที่ใช้อยู่เป็นใดเดือนหรือเติมเงินคะ,61.93,65.306
ถ้าหมายเลขที่คุณผ่านโชคใช้งานอยู่ เป็นแบบเติมเงิน,65.738,69.114
สามารถทำเรื่องย้ายค่ายได้ทันทีค่ะ,69.13,71.45
แต่ว่าถ้าหากว่าเป็นแบบรายเดือนต้องชำระ,71.53,74.506
ค่าบริการรายเดือนก่อนค่ะ สามารถดำเนินการผ่าน,74.506,77.73
ทางเว็บไซต์เพื่อขอรหัสย้ายค่ายกับเครือข่ายต้นทาง,77.73,80.95400000000001
ในส่วนนี้ คุณลูกค้าสามารถแจ้งกับเจ้าหน้าที่,80.906,84.026
ให้บริการของ DTAC,83.946,85.562
ดำเนินการย้ายค่าให้ก็ได้ค่ะหรือว่าในกรณี,85.514,88.82
ที่คุณลูกค้าสามารถติดต่อกับสาขาที่ให้,88.82,91.88999999999999
บริการเครือข่ายเดิมโดยตรงเลย มันก็ได้เหมือนกัน,91.88999999999999,94.95999999999998
ค่ะ ถ้าคุณพอร์ชโนกขออภัยในความไม่สะดวกนะคะ,94.95999999999998,98.26599999999998
ซึ่งจะสะสมทางไปรษณีย์ เครื่องจะใช้เวลาเร็วที่สุด,98.25,101.883
 1 วันทำการค่ะ แต่ว่าวันนี้ยังเป็นวันอังคาร,101.883,105.274
ดิฉัน ว่า,105.258,106.458
สินคุณ จัด จัด,106.538,107.898
ส่งถึงก่อนวันพฤหัสนะคะ,108.266,110.586
แต่ถ้าหากว่าคุณลูกค้ากลัวว่าจะพลาดใบโสดของเกมเมอร์คอน,110.858,114.301
โปรด ดิฉันแนะนำให้ลูกค้าไปที่สาขาด้วยตัวเองดีกว่าค่ะ,114.301,117.946
ถ้าหากว่าสะดวกทางเราใช้เวลาใน,118.154,120.75399999999999
การดำเนินการย้ายไข้ให้ไม่นานเลยค่ะ,120.75399999999999,123.35399999999998
แล้วก็นอกเหนือจากการย้ายค่ายแล้วทางดีแทคของ,123.338,126.434
เรายังมีโปรสำหรับการย้ายค่ายให้เลือกแล้วก็,126.434,129.53
สิทธิประโยชน์อื่น ๆ ที่แต่ละสาขามีไม่เหมือนกันค่ะ,129.546,133.242
อาทิเช่น,133.162,134.202
ได้รับพลอยดุลแรกรางวัลในทุกเดือนค่ะ ขึ้นอยู่,134.122,137.33
กับการใช้งานของคุณลูกค้านะคะว่าหากว่า,137.33,140.538
เป็น สาย เน้น คุย ม้าว เพลิน ไม่ มี สืบ,140.714,143.117
 หรือ ว่า เป็น สาย อินเทอร์เน็ต ไม่ ลด สี,143.117,145.786
ปกติแล้วคุณพรชนกใช้ในการโทรศัพท์ติดต่อ,146.122,149.429
หรือว่าใช้งานอินเทอร์เน็ตมากกว่ากันคะถ้าอย่างนั้น,149.429,152.99
คุณพรชนกค่าปัจจุบันจากเครือข่ายเดิมใช้โปรอะไร,152.99,156.806
อยู่คะ อยากทราบว่าจากโปรเดิมเครือข่ายเดิมคุณพรชนก,156.806,160.36700000000002
ประสบปัญหาในการใช้งานตรงจุดไหนบ้างคะ,160.36700000000002,163.674
อยากให้ทาง nt แก้ไขปัญหาให้อะค่ะจากที่ได้,163.594,166.898
ฟังปัญหาที่เกิดขึ้นก็คือ 1. อินเทอร์เน็ตช้า,166.898,170.202
สัญญาณ ไม่ค่อยมี ค่ะ ภายหาย,170.218,172.986
3. ค่าบริการส่วนเกินแพง,172.938,175.034
มี เบอร์ โทร แปลก มาก แล้วก็มี,175.018,177.298
 สถา ชีพ โทร เข้ามา รบ กวน เยอะ,177.298,179.578
รู้สึกว่าไม่ค่อยปลอดภัยใช่ไหมคะ ค่ะ คุณพรชนก,179.498,183.162
ปัญหาเหล่านี้จะไม่เกิดขึ้นกับคุณผ่อนโชคแน่นอนค่ะเพราะเป็น,183.082,186.843
เป้าหมายหลักในการให้บริการของบีแทค รวมถึงจำนวนจุดสัญญาณ,186.843,190.825
ที่ครอบคลุมในทุกพื้นที่แล้วก็เจ้าหน้าที่ที่มีจำนวนมาก,190.825,194.58599999999998
พร้อมให้บริการรวดเร็วในการแก้ปัญหาให้คุณลูกค้า,194.538,197.744
เสมอค่ะถ้าอย่างนั้น นิชันขออนุญาตแนะนำเป็น,197.744,200.522
โปรย้ายค่ายโปรโมชั่นใหม่สำหรับการย้ายค่ายเป็นคู่,200.522,203.51399999999998
นอกจากส่วนลดแพ็กเกจแล้วยังมีประกันอุบัติเหตุ,203.562,206.895
ให้อีกด้วย ดีแทคหัวใยเต็มใจดูแลค่ะแพ็กเกจ,206.895,210.228
สำหรับอินเตอร์เน็ต 5G make speed มีสามแพ็กเกจค่ะ,210.228,213.561
399 บาท อินเทอร์เน็ต 5G ความ,213.61,215.917
เร็วเต็มสปีด 30 กิกาไบต์,215.917,218.554
โทร ทุก เครือข่าย ฟรี สี่ ร้อย นาที โทร,218.506,221.177
 เข้า ดีแทค ฟรี ไม่มีค่า ไม่มี มินิจ ค่ะ,221.177,224.09
แพ็คเกจ ห้า ร้อย เก้า สิบ เก้า บาท อินเทอร์เน็ต,224.17,226.54999999999998
 ห้า ซี ความเร็ว เต็ม สปีด สี่ สิบ กิกาไบต์,226.54999999999998,229.146
โทรทุกเครือข่ายฟรี 500 นาที,229.194,231.11399999999998
 ดีแทคโทรฟรีไม่มีลิมิตค่ะ,231.11399999999998,233.27399999999997
แพ็กเกจ 799 บาท ความเร็วเต็มสปีด 70 กิกาไบต์ โทรฟรี,233.482,237.204
ทุกเครือข่าย 600 นาที โทรเข้า DetectFree ไม่มีลิมิตเช่นกัน,237.204,241.174
ค่ะ นี่ค่ะ คุณ พรชโนก ไม่ทราบว่าคุณ พรชโนก ได้ตั้ง,241.174,245.144
มุดไว้ไหมคะ ด้วยความมีดีค่ะ คุณ พรชโนก แนะนำเป็น,245.144,249.114
" iPhone 14 256 กิกาไบต์ ราคาเต็มอยู่ที่ 36,900 บาท",249.114,253.084
แต่ว่าถ้าหากคุณลูกค้าต้องการย้ายไข้เบอร์,253.034,255.40699999999998
เดิมราคาจะลดเหลือหนึ่งหมื่นเจ็ดพันสี่ร้อยบาท,255.40699999999998,257.978
ไม่รวมค่าแพ็กเกจรายเดือนนะคะแล้วก็หากคุณลูกค้าต้องการ,257.898,261.54900000000004
เปิดเบอร์ใหม่ราคาเริ่มต้นอยู่ที่หนึ่งหมื่นเก้าพันสี่ร้อยบาท,261.54900000000004,264.98600000000005
โปรโมชั่นสำหรับลูกค้ากล่าวราคาเติม,265.002,267.482
"เริ่มต้นอยู่ที่ 19,400 บาทเช่นกันค่ะ ถ้า",267.626,271.234
"เกิดได้เดือนเริ่มต้นอยู่ที่ 1,699 บาทค่ะ",271.234,274.842
ติด สัญญา 24 เดือน ค่ะ ได้ ค่ะ,274.794,277.594
คุณลูกค้า ย้าย ไข้ เบอร์ เดิม จะ ได้ โปรโมชั่น ไอโฟน สิบสอง,277.77,281.722
256GB ราคา,282.25,284.483
"พิเศษ 17,400 บาท",284.483,287.162
ในส่วนแพ็กเกจค่าโทรในเดือนหากลูกค้ามีการใช้การโทร,287.146,290.89300000000003
มากแนะนำแพ็กเกจเป็นหนึ่งพันเก้าร้อยเก้าสิบเก้าบาทดีกว่าค่ะ,290.89300000000003,294.874
ลูกค้าจะได้ใช้โทรฟรีทุก,294.826,296.791
"ค่าขาย 1,600 นาทีต่อเดือน",296.791,299.002
แล้วก็อินเทอร์เน็ตความเร็ว 5G ไม่อั้นต่อเดือนค่ะกราฟฟ่าค้าแพ็กเกจ,298.922,302.77200000000005
หนึ่งพันหกร้อยเก้าสิบเก้าบาท โทรฟรีทูตเครือข่าย,302.77200000000005,305.55300000000005
หนึ่งพันสองร้อยนาทีมีอินเทอร์เน็ตความเร็ว 5G ไม่อั้น,305.55300000000005,308.76200000000006
สัญญาณ 24 เดือน รอบบิลจะตัดทุกวันที่ 30 ของเดือนนะคะ,308.746,312.226
 ขอทราบชื่อนามสกุลของคุณลูกค้าด้วยค่ะ คุณลูกค้าย้ายค่าย,312.226,315.706
จากค่ายไหนค่ะ แล้วก็ขอทราบเบอร์ที่ต้องการย้ายค่ายด้วยค่ะ,315.706,319.18600000000004
 ขอบคุณค่ะ รอสักครู่นะคะ กำลังดำเนินการให้อยู่ค่ะ,319.18600000000004,322.66600000000005
 คุณลูกค้าสะดวกชำระเป็นบัตรเครดิตหรือบัตรเดบิตดีคะ,322.66600000000005,326.36300000000006
พอสร้างหมายเลขบัตรเครดิตแล้วก็วันหมดอายุหน้าบัตรด้วยค่ะ ขอบคุณ,326.506,330.44199999999995
ค่ะทางเราได้บันทึกข้อมูลให้เรียบร้อยแล้วนะคะ คุณลูกค้าสะดวก,330.44199999999995,334.37799999999993
จัดส่งช่องทางไหนดีคะ จัดส่งวันนี้ได้เลยค่ะ รบกวนข้อมูล,334.37799999999993,338.1069999999999
ขอข้อมูลจัดส่งแล้วก็โดยโทรติดต่อกลับด้วยค่ะ ขอบคุณค่ะ,338.378,341.85699999999997
บันทึกข้อมูลเรียบร้อยนะคะ ต้องการสอบถามข้อมูลเรื่องไรเพิ่มเติม,341.85699999999997,345.541
ไหมคะ ดีแทคคอร์สเซ็นเตอร์ยินดีให้บริการคุณพรชนกขอบคุณที่,345.541,349.225
ใช้บริการกับดีแทคในครั้งนี้นะคะ กรณ์ว่างซ้ายจะมีระบบ,349.225,352.90900000000005
อัตโนมัติรบกวนให้คะแนนกับการให้บริการในครั้งนี้ด้วยค่ะ,352.90900000000005,356.5930000000001
