text,start,end
นิติรักษ์มียินดีให้บริการค่ะ,1.706,3.866
คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณ,3.882,6.050000000000001
ผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผู้ชมครับ คุณผ,6.050000000000001,8.218
ริศาสตร์ว่าตอนนี้ดิฉันกำลังเรียนสาย,8.202,10.689
กับคุณอะไรคะ อ้า คุณภูมิสมุนไพรนะคะ,10.689,13.402000000000001
สามารถดำเนินการแยกไข้ได้ทันทีที่จุดบริการลูกค้า,13.578,16.826
เป็น สาขา ใกล้ บ้าน คุณ ลูกค้า ได้ โดย ใช้ บัตร,16.938,19.418
เกิดประชาชนใบเดียวก็สามารถใช้ค่าได้ทันที,20.586,23.098
ไม่ทราบว่า,23.146,24.538
คุณลูกค้าสะดวกเข้ารับบริการที่สาขาในคะ,24.682,27.898
คุณลูกค้าต้องการให้เราตรวจสอบ,28.138,29.914
ราคาใกล้เคียงไหมคะ ด้วยความยินดีค่ะ,30.09,32.602
ลบเวิร์กของข้อมูลลูกเติมด้วยค่ะ,32.778,34.682
คุณลูกค้า พักอยู่ที่ไหนคะ,34.794,36.73
ที่ฉันจะตรวจสอบสาขาที่อยู่ใกล้ที่สุด,36.81,39.314
เพื่อความสะดวกของคุณลูกค้า คุณลูกค้าคะ,39.314,41.818
สามารถเข้าไปที่ส่วนบริการนี้ แท็ก ได้บ้านที่สุดที่โลตัส,42.058,45.786
นม จอก,45.93,46.81
โรตัส มิงุนิ และ แฟชั่น,47.018,49.119
 ไอร์แลนด์ค่ะ ต้องขออภัยด้วยนะคะ,49.119,51.482
จำเป็นต้องไปดำเนินการที่สาขาหรือช็อตที่ให้บริการค่ะ,51.498,54.842
ถ้าลูกค้าไม่สวยในการเดินทาง,55.018,56.922
สามารถเจ๊งไข้ผ่านทางช่องทางออนไลน์,57.034,59.258
ของมีแท็กค่ะ ไม่ทราบว่าเบอร์เดือนที่ใช้อยู่เป็น,59.53,62.402
รายเดือนดีเติมเงินค่ะ ถ้าเลขใหม่ที่คุณลูกค้า,62.402,65.274
ที่ใช้งานอยู่เป็นแบบเติมเงินสามารถทำเรื่องย้ายค่ายได้ทันทีค่ะ,65.322,69.306
แต่ถ้าเป็นแบบรายเดือนต้องชำระ,69.386,71.354
ค่าบริการรายเดือนก่อนนะคะสามารถดำเนินการ,71.594,74.682
ผ่านทางเว็บไซต์,74.698,75.93
เพื่อขอรหัสย้ายค่ากับ,76.234,78.01
เครือข่ายต้นทางในส่วนนี้,77.962,79.962
ลูกค้า,80.138,80.954
แจ้งกับหน้าที่ที่ให้บริการของนี่แทบ,80.906,83.194
ให้ดำเนินการให้ก็ได้ค่ะ,83.274,85.37
ในกรณีที่ลูกค้าติดต่อกับสถานที่ให้บริการ,85.45,88.09
ค่ะ คุณลูกค้า,88.01,89.242
ขออภัยในความไม่สะดวก,89.29,90.842
เซียมจะเติบโตไป,91.05,92.346
ทางบัญชี,93.098,94.17
จะใช้เวลาสองถึงสามวัน,94.73,96.762
ทำการค่ะ,96.842,97.914
ถ้าให้นิชันแนะนำนะคะ,98.218,99.834
หาลูกค้าสะดวกไปที่สาขา,99.978,101.786
นอกจากซิ,101.866,102.842
ย้ายค่ายแล้ว,102.89,104.218
ทาง,104.33,105.114
มี แท็ก ช็อป ยังมีโปรโมชั่นการ,105.066,107.202
ใช้ค่าให้เลือกและจิตที่ประโยชน์,107.202,109.338
แต่ละสาขามีเงินไม่เหมือนกันค่ะ,109.386,112.25
อาทิเช่น ของที่ระลึก ของแถม,112.298,114.882
 ตัวเล็กนี้ ซื้อ เครื่อง ไมค์ ถู โปร ก็,114.882,117.46600000000001
จะมีแบบเล้นโทรหรือใช้เน็ตยาว ๆ,117.738,120.89
แล้วแต่ความต้องการของคุณลูกค้าค่ะ ปกติ,120.874,123.606
แล้วคุณลูกค้าใช้โทรศัพท์แบบคอมเมนต์,123.606,125.88199999999999
ติดต่อหรือกระเบื้อง,126.09,127.642
มากกว่ากันคะ ถ้างั้น,128.33,130.17
คุณลูกค้าคะ,130.314,131.418
ปัจจุบันจากเครือข่ายเดิมใช้ปูอะไรอยู่คะ,131.626,134.703
 จากผู้เครือข่ายเดิม คุณลูกค้า ให้ทางทุนแก้ไข,134.703,137.78
ปัญหาในส่วนไหน มีแพทที่ดีให้บริการค่ะ,137.78,140.857
จุดสัญญาณเครือข่ายของเรามีเยอะมากมากเลย,141.162,144.25
ขอบคุณทุกพื้นที่,144.586,146.106
อย่างแน่นอน,146.346,147.77
และเรื่องความปลอดภัยการรักษาข้อมูลของลูกค้า,147.882,151.098
ก็เป็นหัวใจหลักของนี่แทคค่า ถ้าอย่างนั้น,151.114,153.946
ขออนุญาตแนะนำเบลอยายค่าย,154.378,157.114
โปรโมชั่นใหม่สำหรับการย้ายค่ายเป็นคู่,157.13,159.866
ของลดภัยเก็บได้แล้ว,160.714,161.978
ประกันอุบัติเหตุให้อีกด้วยมีแถบห่วงใหญ่เต็มใจ,162.858,166.433
ดูแลค่ะแพ็กเกจสำหรับอินเทอร์เน็ต 5G,166.433,169.498
สั่งให้กินค่ะ,171.178,172.218
สามร้อยเก้าสิบเก้า บาท,172.17,173.626
อินเทอร์เน็ต ธาตุดี ความเร็วเต็มสปีด,173.674,176.09
30 กิกะไบต์,176.01,177.434
โทษทุกข์คล้าย ๆ ปี,177.546,179.066
สี่ ร้อย บาท อ่ะ,179.114,180.602
นาที โทร เข้า ดี แท ค,180.874,182.522
ปี ไม่ มี ค่า,182.858,184.186
นี่นั่งอยู่,184.298,185.594
ด้วยแพ็กเก็ตห้าร้อยเก้าสิบเก้าบาท,185.61,188.186
อินโดนีเซียท 5G ความเร็วเต็มสปีด 40 GB,188.106,191.514
โทรทุกข์กระขายปี,191.53,192.922
ห้าร้อย นาที รีแทค โทร ฟรี,193.194,195.514
ไม่มีลิบินค่ะ,195.466,196.698
แพ็คเกจ เจ็ด ร้อย เก้า สิบ เก้า บาท,196.938,199.002
ความเร็วเดียวจะปิด,199.242,200.506
เจ็ดสิบ กิกกะไบต์ โทร ทุก กระ ,200.586,202.70000000000002
ขา สี่ หกร้อย นาที โทร เข้า,202.70000000000002,204.602
ดีเทคฟิล์มไม่มีลิมิต,204.522,206.074
เช่นกัน,206.058,207.002
มีค่ะ คุณโพลง,207.658,208.954
ไป ทราบ ว่า,208.874,209.978
กุโลหาได้ตั้งหมด,209.962,211.418
ด้วยความยินดีค่ะ คุณลูกค้า iphone,211.466,214.65
สองร้อยห้าสิบหกกิกะไบร์ราคาเต็มหนึ่งที่หนึ่ง,215.114,218.01
สามหมื่นหกพันเก้าร้อยบาท,218.186,219.962
แต่หากคุณลูกค้าต้องการย้ายค่าเบอร์เดิม,220.33,222.906
ราคาจะลด,223.146,224.25
เบื่อ,224.266,225.018
หนึ่งหมื่นเจ็ดพันสี่ร้อยบาท,225.13,227.002
มารวมทางธุรกิจรายเดือนนะคะและหากลูกค้า,227.306,230.65
ต้องการเปิดเบอร์ใหม่,230.634,231.93
ราคาเริ่มต้นอยู่ที่,232.042,233.722
หนึ่ง หมื่น เก้า พัน สี่ ร้อย บาท,233.93,235.802
โปรโมชั่นสำหรับลูกค้า,235.914,237.722
ราคาเริ่มต้นอยู่ที่,238.73,240.474
หนึ่งหมื่นเก้าพันสี่ร้อยบาทเช่นกันค่ะ,240.682,243.898
เก็บ ไดร์ เดือน ล่ม ต้น อยู่,243.818,245.722
หนึ่ง พัน หก ร้อย,246.698,247.994
เก้า สิบ เก้า บาท ค่ะ ปิด สัญญา ก็ ยี่,248.042,251.482
ได้ค่ะ คุณลูกค้าแยกค่ายเบอร์,251.626,254.066
